year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2014,SFG,"$118,714,109 ","$5,161,483 ","$4,000,000 ",87,"$1,364,529.99 ",yes
2014,STL,"$90,653,693 ","$3,357,544 ","$535,000 ",90,"$1,007,263.26 ",no
2014,TBR,"$82,232,623 ","$2,835,608 ","$1,475,000 ",77,"$1,067,956.14 ",no
2014,TEX,"$102,585,846 ","$3,537,443 ","$1,000,000 ",67,"$1,531,132.03 ",no
2014,TOR,"$111,422,600 ","$4,844,461 ","$3,000,000 ",83,"$1,342,440.96 ",no
2014,WAS,"$129,700,068 ","$4,803,706 ","$2,700,000 ",96,"$1,351,042.38 ",no
2013,ARI,"$75,105,500 ","$3,265,457 ","$1,900,000 ",81,"$927,228.40 ",no
2013,ATL,"$73,600,692 ","$3,345,486 ","$1,550,000 ",96,"$766,673.88 ",no
2013,BAL,"$81,637,464 ","$3,710,794 ","$1,910,000 ",85,"$960,440.75 ",no
2013,BOS,"$156,522,142 ","$5,797,116 ","$4,250,000 ",97,"$1,613,630.33 ",yes
2013,CHC,"$103,456,533 ","$3,831,723 ","$1,750,000 ",66,"$1,567,523.23 ",no
2013,CHW,"$117,040,777 ","$5,088,729 ","$2,800,000 ",63,"$1,857,790.11 ",no
2013,CIN,"$90,025,772 ","$3,914,164 ","$3,060,000 ",90,"$1,000,286.36 ",no
2013,CLE,"$69,274,900 ","$2,770,996 ","$1,000,000 ",92,"$752,988.04 ",no
2013,COL,"$64,278,071 ","$2,921,731 ","$1,250,000 ",74,"$868,622.58 ",no
2013,DET,"$151,420,000 ","$6,583,478 ","$4,000,000 ",93,"$1,628,172.04 ",no
2013,HOU,"$18,825,200 ","$896,438 ","$496,600 ",51,"$369,121.57 ",no
2013,KCR,"$74,821,300 ","$3,400,968 ","$1,190,000 ",86,"$870,015.12 ",no
2013,LAA,"$127,896,250 ","$4,736,898 ","$3,500,000 ",78,"$1,639,695.51 ",no
2013,LAD,"$171,050,552 ","$7,127,106 ","$4,980,750 ",92,"$1,859,245.13 ",no
2013,MIA,"$35,857,000 ","$1,434,280 ","$625,000 ",62,"$578,338.71 ",no
2013,MIL,"$70,893,444 ","$2,953,894 ","$1,150,000 ",74,"$958,019.51 ",no
2013,MIN,"$69,780,000 ","$3,489,000 ","$597,500 ",66,"$1,057,272.73 ",no
2013,NYM,"$68,347,948 ","$2,847,831 ","$625,000 ",74,"$923,620.92 ",no
2013,NYY,"$182,832,190 ","$7,032,007 ","$2,975,000 ",85,"$2,150,966.94 ",no
2013,OAK,"$39,199,500 ","$1,781,795 ","$605,000 ",96,"$408,328.13 ",no
2013,PHI,"$144,895,714 ","$5,795,829 ","$1,350,000 ",73,"$1,984,872.79 ",no
2013,PIT,"$77,554,000 ","$2,982,846 ","$1,437,500 ",94,"$825,042.55 ",no
2013,SDP,"$62,305,200 ","$2,307,600 ","$1,125,000 ",76,"$819,805.26 ",no
2013,SEA,"$60,296,043 ","$3,173,476 ","$1,500,000 ",76,"$793,368.99 ",no
2013,SFG,"$112,092,501 ","$4,873,587 ","$1,800,000 ",71,"$1,578,767.62 ",no
2013,STL,"$93,552,086 ","$4,454,861 ","$1,750,000 ",97,"$964,454.49 ",no
2013,TBR,"$51,903,072 ","$2,162,628 ","$1,750,000 ",92,"$564,163.83 ",no
2013,TEX,"$110,917,100 ","$4,621,546 ","$2,825,000 ",91,"$1,218,869.23 ",no
2013,TOR,"$113,044,500 ","$4,186,833 ","$2,750,000 ",74,"$1,527,628.38 ",no
2013,WAS,"$111,356,769 ","$4,639,865 ","$3,150,000 ",86,"$1,294,846.15 ",no
2012,ARI,"$70,098,833 ","$2,696,109 ","$1,625,000 ",81,"$865,417.69 ",no
2012,ATL,"$75,874,942 ","$2,709,819 ","$550,000 ",94,"$807,180.23 ",no
2012,BAL,"$74,012,333 ","$2,643,298 ","$1,275,000 ",93,"$795,831.54 ",no
2012,BOS,"$158,129,617 ","$4,941,551 ","$1,556,250 ",69,"$2,291,733.58 ",no
2012,CHC,"$88,677,033 ","$3,284,335 ","$1,150,000 ",61,"$1,453,721.85 ",no
2012,CHW,"$96,439,500 ","$4,018,313 ","$1,265,000 ",85,"$1,134,582.35 ",no
