year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2002,CHW,"$57,052,833 ",2113068,575000,81,704355.96,no
2002,CIN,"$45,050,390 ",1501680,500000,78,577569.1,no
2002,CLE,"$78,909,449 ",2630315,1650000,74,1066343.91,no
2002,COL,"$56,851,043 ",2105594,600000,73,778781.41,no
2002,DET,"$55,048,000 ",1966000,1000000,55,1000872.73,no
2002,HOU,"$63,448,417 ",2349941,500000,84,755338.3,no
2002,KCR,"$47,257,000 ",1629552,800000,62,762209.68,no
2002,LAA,"$61,721,667 ",2204345,450000,99,623451.18,yes
2002,LAD,"$94,850,953 ",3648114,1950000,92,1030988.62,no
2002,MIA,"$41,979,917 ",1499283,737500,79,531391.35,no
2002,MIL,"$50,287,833 ",1734063,1100000,56,897997.02,no
2002,MIN,"$40,225,000 ",1547115,475000,94,427925.53,no
2002,NYM,"$94,633,593 ",3639754,2107500,75,1261781.24,no
2002,NYY,"$125,928,583 ",4342365,2500000,103,1222607.6,no
2002,OAK,"$40,004,167 ",1481636,812500,103,388389.97,no
2002,PHI,"$57,954,999 ",2069821,675000,80,724437.49,no
2002,PIT,"$42,323,599 ",1459434,625000,72,587827.76,no
2002,SDP,"$41,425,000 ",1428448,350000,66,627651.52,no
2002,SEA,"$80,282,668 ",3211307,3333333,95,845080.72,no
2002,SFG,"$78,299,835 ",2899994,1750000,93,841933.71,no
2002,STL,"$74,660,875 ",2871572,2125000,97,769699.74,no
2002,TBR,"$34,380,000 ",1227857,267500,55,625090.91,no
2002,TEX,"$105,726,122 ",3645728,2000000,72,1468418.36,no
2002,TOR,"$76,864,333 ",2650494,1650000,78,985440.17,no
2002,WAS,"$38,670,500 ",1381089,345000,83,465909.64,no
2001,ARI,"$85,247,999 ",3044571,1650000,92,926608.68,yes
2001,ATL,"$91,936,166 ",2965683,1200000,88,1044729.16,no
2001,BAL,"$74,279,540 ",2475985,1360000,63,1179040.32,no
2001,BOS,"$109,675,833 ",3427370,1962500,82,1337510.16,no
2001,CHC,"$64,515,833 ",2481378,2000000,88,733134.47,no
2001,CHW,"$65,628,667 ",2430691,975000,83,790706.83,no
2001,CIN,"$48,784,000 ",1876308,550000,66,739151.52,no
2001,CLE,"$92,660,001 ",2989032,2000000,91,1018241.77,no
2001,COL,"$71,541,334 ",2751590,1208334,73,980018.27,no
2001,DET,"$49,356,167 ",1762720,432500,66,747820.71,no
2001,HOU,"$60,387,667 ",2236580,1300000,93,649329.75,no
2001,KCR,"$35,422,500 ",1265089,372500,65,544961.54,no
2001,LAA,"$47,735,168 ",1539844,350000,75,636468.91,no
2001,LAD,"$109,105,953 ",3762274,1725000,86,1268673.87,no
2001,MIA,"$35,562,500 ",1185417,450000,76,467927.63,no
2001,MIL,"$45,099,333 ",1555149,910000,68,663225.49,no
2001,MIN,"$24,130,000 ",893704,260000,85,283882.35,no
2001,NYM,"$93,674,428 ",3230153,1800000,82,1142371.07,no
2001,NYY,"$112,287,143 ",3622166,1600000,95,1181969.93,no
2001,OAK,"$33,810,750 ",1252250,350000,102,331477.94,no
2001,PHI,"$41,663,833 ",1602455,750000,86,484463.17,no
2001,PIT,"$57,760,833 ",1863253,795000,62,931626.34,no
2001,SDP,"$38,882,833 ",1440105,350000,79,492187.76,no
2001,SEA,"$74,720,834 ",2668601,1925000,90,830231.49,no
2001,SFG,"$63,280,167 ",2343710,1300000,116,545518.68,no
2001,STL,"$78,333,333 ",2701149,1500000,93,842293.9,no
2001,TBR,"$56,980,000 ",2110370,700000,62,919032.26,no
2001,TEX,"$88,633,500 ",2859145,800000,73,1214157.53,no
2001,TOR,"$76,895,999 ",2746286,2191667,80,961199.99,no
2001,WAS,"$34,849,500 ",1161650,310000,68,512492.65,no
2000,ARI,"$79,230,333 ",2829655,1779167,85,932121.56,no
2000,ATL,"$82,732,500 ",2852845,1400000,95,870868.42,no
2000,BAL,"$83,141,198 ",2866938,1850000,74,1123529.7,no
2000,BOS,"$81,210,333 ",2707011,2000000,85,955415.68,no
2000,CHC,"$62,129,333 ",2004172,776000,65,955835.89,no
2000,CHW,"$31,159,000 ",1074448,285000,95,327989.47,no
2000,CIN,"$44,217,500 ",1700673,815000,85,520205.88,no
2000,CLE,"$76,508,334 ",2942628,1596334,90,850092.6,no
2000,COL,"$61,314,190 ",2189793,1250000,82,747734.02,no
2000,DET,"$61,740,167 ",2058006,1175000,79,781521.1,no
2000,HOU,"$52,081,667 ",2083267,800000,72,723356.49,no
2000,KCR,"$23,132,500 ",925300,400000,77,300422.08,no
2000,LAA,"$51,266,667 ",1767816,550000,82,625203.26,no
2000,LAD,"$90,375,953 ",2915353,1400000,86,1050883.17,no
2000,MIA,"$19,870,000 ",709643,268500,79,251518.99,no
2000,MIL,"$35,782,833 ",1084328,350000,73,490175.79,no
2000,MIN,"$15,654,500 ",626180,285000,69,226876.81,no
2000,NYM,"$79,759,762 ",3067683,2225000,94,848508.11,no
2000,NYY,"$92,938,260 ",3319224,1350000,87,1068255.86,yes
2000,OAK,"$32,121,833 ",1147208,400000,91,352987.18,no
2000,PHI,"$46,947,667 ",1618885,550000,65,722271.8,no
2000,PIT,"$26,561,667 ",1062467,450000,69,384951.7,no
2000,SDP,"$54,971,000 ",1832367,700000,76,723302.63,no
2000,SEA,"$59,215,000 ",2277500,1475000,97,610463.92,no
2000,SFG,"$53,541,000 ",1983000,1125000,91,588362.64,no
2000,STL,"$63,093,023 ",2253322,925000,95,664137.08,no
2000,TBR,"$64,407,910 ",2012747,537500,69,933447.97,no
2000,TEX,"$70,785,000 ",2621667,1100000,71,996971.83,no
2000,TOR,"$46,363,332 ",1783205,716667,83,558594.36,no
2000,WAS,"$33,527,666 ",1156126,325000,67,500412.93,no
